"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        将角色数据权限设置为全部数据（dataScope=""1""），断言:
        - 响应 code == 200
        ","296","TC-SYS-ROL-020：修改数据权限为'全部数据'(dataScope='1')，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleDataScope","test_role_data_scope_status","",""
"
        调用 optionselect 接口，断言:
        - 响应 code == 200
        - data 字段为列表类型
        ","185","TC-SYS-PST-007：获取岗位选择框列表，断言 code==200 且 data 为列表","tests.test_system","2026-04-28","passed","2026-04-28","TestPostList","test_post_list","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","306","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        只传三个必填字段，断言:
        - 响应 code == 200
        - 响应 msg == ""操作成功""

        测试后通过接口删除所建部门，保持环境整洁。
        ","199","TC-SYS-DPT-010：仅传必填字段（parentId/deptName/orderNum）新增部门成功","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptCrud","test_dept_crud","",""
"
        批量删除链路：
        1. 新增两个测试角色；
        2. 调用批量删除接口，断言 code==200。
        ","329","TC-SYS-ROL-017：批量删除多个测试角色，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleCrud","test_role_crud","",""
"","702","TC-SYS-FLW-001：新增岗位与角色后，用二者新增用户并校验关联","tests.test_system","2026-04-28","passed","2026-04-28","TestUserPostRoleBusinessFlow","test_user_post_role_business_flow","",""
"","785","TC-SYS-FLW-002：新增岗位与角色后，将已有用户改为绑定新岗位与新角色","tests.test_system","2026-04-28","passed","2026-04-28","TestUserPostRoleBusinessFlow","test_user_post_role_business_flow","",""
"","770","TC-SYS-RBAC-004：分配菜单后普通用户 getInfo.permissions 包含对应权限","tests.test_system","2026-04-28","passed","2026-04-28","TestPermissionRbac","test_permission_rbac","",""
"
        roleIds/postIds：可全不选（[]）、部分选（库中至少 2 条时仅传首条）、
        全选（全部可用 id）。显式传列表以覆盖 YAML 模板占位 roleIds/postIds [0]。
        ","316","TC-SYS-USR-009：roleIds/postIds — role=partial, post=all，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        通过 SystemFlows 执行完整链路，断言:
        - GlobalContext 中 system_token / system_user_name / system_roles / system_permissions 均已填充
        - user.userName 与登录用户名一致
        ","182","TC-SYS-003：完整链路 —— 登录 → getInfo 一步完成","tests.test_system","2026-04-28","passed","2026-04-28","TestUserLogin","test_user_login","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","286","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        传入 status='0' 过滤，断言:
        - 响应 code == 200
        - 返回的每条 row 中 status 均为 ""0""
        ","203","TC-SYS-ROL-004：按 status='0' 查询正常状态角色，断言每条记录 status 均为正常","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleList","test_role_list","",""
"
        从 DB 取 user_id >= 3 的普通用户，同时修改昵称、性别、备注，断言:
        - code == 200
        - DB 中三个字段均已更新
        ","239","TC-SYS-UPD-002：从 DB 取已有用户，同时修改多个字段，断言 code==200 并回查 DB 验证","tests.test_system","2026-04-28","passed","2026-04-28","TestUpdateUser","test_update_user","",""
"
        删除一个不存在的角色 ID，断言:
        - 服务端有明确响应（不崩溃）
        - code 通常为 200（幂等删除）或 500（业务错误）

        该用例记录服务端实际行为，以便回归时发现行为变化。
        ","171","TC-SYS-ROL-018：删除不存在的角色 ID（99999999），观察服务端实际返回","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleCrud","test_role_crud","",""
"
        同一父部门下两次使用相同 deptName 新增，断言:
        - 第一次 code == 200
        - 第二次 code == 500（部门名称重复）
        ","268","TC-SYS-DPT-012：同一父部门下重复 deptName 新增，断言 code==500","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptCrud","test_dept_crud","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","347","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        传入必填字段 + 可选字段，断言:
        - 响应 code == 200

        测试后通过接口删除所建角色。
        ","232","TC-SYS-ROL-011：含可选字段（dataScope/remark/menuCheckStrictly）新增角色，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleCrud","test_role_crud","",""
"
        从 DB 取两条不同用户：
        - 目标用户（将被修改）；
        - 已有手机号（从另一用户获取）；
        断言修改时 code==500 且 msg 含""手机号码已存在""。
        ","235","TC-SYS-UPD-004：修改手机号为已存在的手机号，code==500 且提示手机号码已存在","tests.test_system","2026-04-28","passed","2026-04-28","TestUpdateUser","test_update_user","",""
"","163","TC-SYS-NTC-004：分页 pageNum=1, pageSize=2，断言 rows 长度 <= 2","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeList","test_notice_list","",""
"","296","TC-SYS-NTC-016：批量删除多条","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeCrud","test_notice_crud","",""
"
        按 status=""0"" 筛选正常状态部门，断言:
        - 响应 code == 200
        ","166","TC-SYS-DPT-003：按 status='0' 筛选正常部门，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptList","test_dept_list","",""
"","17","TC-SYS-NTC-006：未携带 Token 获取列表，断言被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeList","test_notice_list","",""
"
        传入 userName 过滤，断言:
        - 响应 code == 200
        ","180","TC-SYS-ROL-034：按 userName 过滤未分配用户，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleUnallocatedUsers","test_role_auth_users","",""
"数据驱动：对 sex 枚举每个值各新增一个用户，均断言 code==200。","334","TC-SYS-USR-008：数据驱动 - sex 枚举 0/1/2 均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        先登录获取 access_token，再调用 getInfo，断言:
        - getInfo 响应 code == 200
        - user.userName == 'admin'
        - roles 列表非空
        - permissions 列表非空
        - 响应结构符合 JSON Schema 契约
        ","159","TC-SYS-002：登录后调用 getInfo，返回用户名/角色/权限","tests.test_system","2026-04-28","passed","2026-04-28","TestUserLogin","test_user_login","",""
"
        链路: 新增岗位 -> 新增用户绑定岗位 -> DB 关联存在 ->
              解绑岗位（update_user post_ids=[]） -> 关联消失 -> 删除岗位
        关键断言: sys_user_post 关联计数从 >=1 变为 0；删除岗位返回成功
        ","648","TC-SYS-BIZ-003：岗位授权闭环（新增→绑定用户→DB关联存在→解绑→关联消失→删岗位）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"
        roleIds/postIds：可全不选（[]）、部分选（库中至少 2 条时仅传首条）、
        全选（全部可用 id）。显式传列表以覆盖 YAML 模板占位 roleIds/postIds [0]。
        ","317","TC-SYS-USR-009：roleIds/postIds — role=none, post=all，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","306","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"","57","TC-SYS-NTC-012：未携带 Token 新增，断言被拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeCrud","test_notice_crud","",""
"
        对 dataScope 1~5 逐一验证（数据驱动）：
        - dataScope=""2""（自定义）不传 deptIds，服务端按空部门处理。
        - 断言每种枚举 code==200。
        ","305","TC-SYS-ROL-023：数据驱动—dataScope 枚举 1~5 均可修改成功","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleDataScope","test_role_data_scope_status","",""
"
        roleIds/postIds：可全不选（[]）、部分选（库中至少 2 条时仅传首条）、
        全选（全部可用 id）。显式传列表以覆盖 YAML 模板占位 roleIds/postIds [0]。
        ","307","TC-SYS-USR-009：roleIds/postIds — role=none, post=partial，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        完整正向链路：
        1. 新增测试用户；
        2. 从 DB 查出 user_id 与 dept_id；
        3. 修改昵称；
        4. 断言 code==200；
        5. 回查 DB 验证昵称已更新。
        ","404","TC-SYS-UPD-001：先新增用户，再修改昵称，断言 code==200 并回查 DB 验证","tests.test_system","2026-04-28","passed","2026-04-28","TestUpdateUser","test_update_user","",""
"","304","TC-SYS-NTC-013：新增后按 noticeId 查详情，字段一致","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeCrud","test_notice_crud","",""
"","303","TC-SYS-NTC-007：先新增再按标题查询，断言能查到该条","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeList","test_notice_list","",""
"
        链路: 登录 -> 新增用户(含 dept/role/post) -> 修改昵称 ->
              列表/DB 校验 -> 删除用户 -> del_flag='2' 校验
        ","886","TC-SYS-BIZ-001：用户完整生命周期（新增→修改→DB校验→删除→软删标记）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","288","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        只传四个必填字段，断言:
        - 响应 code == 200
        - 响应 msg == ""操作成功""

        测试后通过接口删除所建岗位，保持环境整洁。
        ","234","TC-SYS-PST-010：仅传必填字段（postCode/postName/postSort/status）新增岗位成功","tests.test_system","2026-04-28","passed","2026-04-28","TestPostCrud","test_post_crud","",""
"","246","TC-SYS-NTC-011：含 remark、noticeContent 新增成功","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeCrud","test_notice_crud","",""
"
        不注入 Token 直接调用新增接口，断言:
        - 响应 code != 200（通常为 401）
        ","28","TC-SYS-PST-013：未携带 Token 新增岗位，断言被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestPostCrud","test_post_crud","",""
"
        完整链路：新增部门 → DB 回查 deptId → 调用详情接口，断言:
        - 响应 code == 200
        - data.deptName 与新增时一致
        - data.parentId 与新增时一致
        ","260","TC-SYS-DPT-014：新增部门后获取详情，断言 code==200 且关键字段匹配","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptCrud","test_dept_crud","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","326","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        传入 userName 过滤条件，断言:
        - 响应 code == 200
        - 若有结果，每条记录的 userName 含查询关键字
        ","174","TC-SYS-ROL-031：按 userName='admin' 过滤已分配用户，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleAllocatedUsers","test_role_auth_users","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","334","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        传入 roleName 模糊查询，断言:
        - 响应 code == 200
        - 返回的每条 row 中 roleName 均包含查询关键字
        ","213","TC-SYS-ROL-002：按 roleName='管理员' 模糊查询，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleList","test_role_list","",""
"
        只传三个必填字段，断言:
        - 响应 code == 200
        - 响应 msg == ""操作成功""
        ","312","TC-SYS-USR-001：仅传必填字段（userName/nickName/password）新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        不注入 Token 直接查询，断言:
        - 响应 code != 200（通常为 401）
        ","18","TC-SYS-ROL-035：未携带 Token 查询已分配用户列表，断言被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleUnallocatedUsers","test_role_auth_users","",""
"
        数据驱动：对 parametrize 中每组账号执行登录，均断言 code==200 且 access_token 非空。
        ","144","TC-SYS-006：数据驱动 - 多账号登录均应成功","tests.test_system","2026-04-28","passed","2026-04-28","TestUserLogin","test_user_login","",""
"
        两次使用相同 postCode 新增，断言:
        - 第一次 code == 200
        - 第二次 code == 500 且 msg 包含 ""已存在"" 相关字样
        ","300","TC-SYS-PST-012：重复 postCode 新增，断言 code==500 且 msg 含相关描述","tests.test_system","2026-04-28","passed","2026-04-28","TestPostCrud","test_post_crud","",""
"
        链路: 新增公告 -> 列表按标题/状态命中 -> 修改标题/内容/状态 ->
              详情字段校验 -> 删除公告 -> DB 验证不存在
        ","409","TC-SYS-BIZ-009：公告发布全链路（新增→列表命中→修改→详情校验→删除）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"","156","TC-SYS-NTC-002：按 noticeTitle 模糊查询，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeList","test_notice_list","",""
"
        链路: 新增角色 -> 连续切换 dataScope=1/2/3/4/5 ->
              每次切换后查详情/DB 验证 -> 最终删除角色
        关键断言: 每次切换后 DB data_scope 与设置值一致，无写入丢失
        ","579","TC-SYS-BIZ-007：数据权限切换稳定性（连续切换 dataScope=1~5，DB 校验最终态一致）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"
        完整正向链路：
        1. 新增测试角色；
        2. 通过 roleKey 查询 role_id；
        3. 调用删除接口，断言 code==200。
        ","241","TC-SYS-ROL-016：新增角色后删除，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleCrud","test_role_crud","",""
"
        完整链路：新增角色 → 通过 roleKey 查询 role_id → 调用详情接口，断言:
        - 响应 code == 200
        - data.roleKey 与新增时一致
        - data.roleName 与新增时一致
        ","262","TC-SYS-ROL-014：新增角色后获取详情，断言 code==200 且关键字段匹配","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleCrud","test_role_crud","",""
"
        不调用登录、不注入 token，直接调用 add_user，断言:
        - 响应 code 不为 200
        - msg 包含鉴权相关关键词
        ","25","TC-SYS-USR-006：未携带 Token 新增用户，应被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        链路: 新增角色 -> 新增用户绑定该角色 -> allocatedList 可见 ->
              更新用户去除角色 -> unallocatedList 可见 -> 清理
        ","669","TC-SYS-BIZ-002：角色授权闭环（分配→allocatedList可见→去角色→unallocatedList可见）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"
        完整正向链路：
        1. 新增测试部门；
        2. DB 回查 dept_id；
        3. 修改 deptName 与 orderNum，断言 code==200；
        4. 再次查详情确认修改生效。
        ","328","TC-SYS-DPT-015：新增→查详情→修改→再查部门，断言 code==200 且修改后字段生效","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptCrud","test_dept_crud","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","333","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        传入 deptName 关键字模糊查询，断言:
        - 响应 code == 200
        ","180","TC-SYS-DPT-002：按 deptName 模糊查询，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptList","test_dept_list","",""
"
        不注入 Token 直接调用新增接口，断言:
        - 响应 code != 200（通常为 401）
        ","27","TC-SYS-ROL-013：未携带 Token 新增角色，断言被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleCrud","test_role_crud","",""
"
        两次使用相同 roleKey 新增，断言:
        - 第一次 code == 200
        - 第二次 code == 500 且 msg 包含 ""已存在"" 相关字样
        ","278","TC-SYS-ROL-012：重复 roleKey 新增，断言 code==500 且 msg 含相关描述","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleCrud","test_role_crud","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","330","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        对 dataScope 1~5 逐一验证（数据驱动）：
        - dataScope=""2""（自定义）不传 deptIds，服务端按空部门处理。
        - 断言每种枚举 code==200。
        ","300","TC-SYS-ROL-023：数据驱动—dataScope 枚举 1~5 均可修改成功","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleDataScope","test_role_data_scope_status","",""
"
        不注入 Token 直接修改状态，断言:
        - 响应 code != 200（通常为 401）
        ","17","TC-SYS-ROL-026：未携带 Token 修改角色状态，断言被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleStatus","test_role_data_scope_status","",""
"
        不注入 Token，断言:
        - 响应 code != 200（若依鉴权一般返回 401）
        ","18","TC-SYS-PST-006：未携带 Token 获取岗位列表，断言被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestPostList","test_post_list","",""
"
        使用一个库中肯定不存在的极大 user_id 发起删除请求，断言:
        - code == 500
        ","166","TC-SYS-DEL-003：删除不存在的用户 ID（99999999），断言 code==500","tests.test_system","2026-04-28","passed","2026-04-28","TestDeleteUser","test_delete_user","",""
"
        使用系统中不存在的用户名登录，断言:
        - 服务端返回非 200 的业务码（如 500 / 401）
        - 响应中无有效 access_token

        注意: 若本地代理对所有请求统一返回 200，该用例会被标记为 xfail（预期失败），
        直连后端时应恢复为正常 FAIL → PASS 状态。
        ","45","TC-SYS-004a：不存在的用户名登录，应被服务端拒绝（xfail 标记）","tests.test_system","2026-04-28","passed","2026-04-28","TestUserLogin","test_user_login","",""
"
        从 sys_user 表查询已存在的 email，直接尝试新增同邮箱用户，断言:
        - code == 500
        - msg 包含""邮箱账号已存在""
        ","171","TC-SYS-USR-005：重复邮箱新增，code==500 且提示邮箱账号已存在","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"数据驱动：对 sex 枚举每个值各新增一个用户，均断言 code==200。","293","TC-SYS-USR-008：数据驱动 - sex 枚举 0/1/2 均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"","172","TC-SYS-NTC-001：默认参数获取公告列表，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeList","test_notice_list","",""
"
        不带任何过滤参数，断言:
        - 响应 code == 200
        - rows 列表非空（系统初始化至少包含超级管理员角色）
        - total >= 1
        ","194","TC-SYS-ROL-001：不带参数获取角色列表，断言 code==200 且 rows 非空","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleList","test_role_list","",""
"
        完整链路：新增岗位 → 通过 postCode 查询 post_id → 调用详情接口，断言:
        - 响应 code == 200
        - data.postCode 与新增时一致
        - data.postName 与新增时一致
        ","341","TC-SYS-PST-014：新增岗位后获取详情，断言 code==200 且关键字段匹配","tests.test_system","2026-04-28","passed","2026-04-28","TestPostCrud","test_post_crud","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","286","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        将正常角色状态改为停用，断言:
        - 响应 code == 200
        - 再次查详情确认 status == ""1""
        ","345","TC-SYS-ROL-024：停用角色（status='1'），断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleStatus","test_role_data_scope_status","",""
"
        链路: 岗位已被用户占用时删岗位应失败(code=500 msg含「已分配/不能删除」)
              -> 删除用户并清理残留绑定 -> 再删岗位成功
        ","750","TC-SYS-BIZ-005：岗位删除保护链路（已分配岗位不可删→清理用户→再删成功）","tests.test_system","2026-04-28","passed","2026-04-28","TestSystemBusinessFlows","test_system_business_flows","",""
"","698","TC-SYS-FLW-003：已绑定用户的岗位删除被拦截（已分配不能删），关联仍存在；删用户并清理关联后可删岗位","tests.test_system","2026-04-28","passed","2026-04-28","TestUserPostRoleBusinessFlow","test_user_post_role_business_flow","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","342","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"数据驱动：对 sex 枚举每个值各新增一个用户，均断言 code==200。","295","TC-SYS-USR-008：数据驱动 - sex 枚举 0/1/2 均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"","249","TC-SYS-NTC-010：仅必填字段 noticeTitle + noticeType 新增成功","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeCrud","test_notice_crud","",""
"
        不带任何过滤参数，断言:
        - 响应 code == 200
        - data 列表非空（系统初始化至少包含若干部门）
        ","186","TC-SYS-DPT-001：不带参数获取部门列表，断言 code==200 且 data 非空","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptList","test_dept_list","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","305","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        只传四个必填字段，断言:
        - 响应 code == 200
        - 响应 msg == ""操作成功""

        测试后通过接口删除所建角色，保持环境整洁。
        ","256","TC-SYS-ROL-010：仅传必填字段（roleName/roleKey/roleSort/status）新增角色成功","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleCrud","test_role_crud","",""
